cabang_id,kode,nama_cabang,nomor_barang,nama_barang,kategori,jumlah,stok,tanggal_masuk
1,,,BRG-083,"UPS APC 1200VA","Perangkat Pendukung",2,2,2026-03-12
1,,,BRG-086,"Kabel UTP Cat6 100m",Kabel,3,3,2026-03-12
1,,,BRG-062,"Access Point TP-Link EAP225","Access Point",3,3,2026-03-13
1,,,BRG-084,"Modem ZTE F609",Modem,1,1,2026-03-13
1,,,BRG-008,"UPS APC 1200VA","Perangkat Pendukung",4,4,2026-03-14
1,,,BRG-039,"Rack Server 20U","Perangkat Pendukung",4,4,2026-03-14
1,,,BRG-049,"Router TP-Link Archer C6",Router,4,4,2026-03-14
1,,,BRG-005,"Access Point Ubiquiti U6","Access Point",3,3,2026-03-15
1,,,BRG-076,"Rack Server 20U","Perangkat Pendukung",4,4,2026-03-15
1,,,BRG-092,"Router MikroTik RB750",Router,5,5,2026-03-15
1,,,BRG-031,"Switch TP-Link 24 Port",Switch,4,4,2026-03-16
1,,,BRG-001,"Access Point TP-Link EAP225","Access Point",5,0,2026-03-18
1,,,BRG-024,"Rack Server 20U","Perangkat Pendukung",3,3,2026-03-18
1,,,BRG-057,"Switch TP-Link 24 Port",Switch,2,2,2026-03-21
1,,,BRG-004,"Access Point Ubiquiti U6","Access Point",5,5,2026-03-22
1,,,BRG-014,"Access Point TP-Link EAP225","Access Point",1,1,2026-03-23
1,,,BRG-009,"Access Point Ubiquiti U6","Access Point",2,2,2026-03-24
1,,,BRG-010,"Kabel UTP Cat6 100m",Kabel,3,3,2026-03-24
1,,,BRG-028,"Switch TP-Link 24 Port",Switch,3,3,2026-03-24
1,,,BRG-040,"Router MikroTik RB750",Router,4,4,2026-03-24
1,,,BRG-050,"Modem ZTE F609",Modem,4,4,2026-03-24
1,,,BRG-035,"Kabel UTP Cat6 100m",Kabel,2,2,2026-03-25
1,,,BRG-015,"Modem ZTE F609",Modem,3,3,2026-03-28
1,,,BRG-098,"Kabel UTP Cat6 100m",Kabel,2,2,2026-03-28
1,,,BRG-100,"Switch Cisco SG250",Switch,4,4,2026-03-28
1,,,BRG-060,"Access Point Ubiquiti U6","Access Point",5,5,2026-03-29
1,,,BRG-096,"Modem ZTE F609",Modem,4,4,2026-03-29
1,,,BRG-022,"Router MikroTik RB750",Router,2,2,2026-03-31
